Month,Region,Purpose,Nights
1998 Jan,Melbourne East,Visiting friends and relatives,5.8440016
1998 Jan,Melbourne East,Business,7.1703984
1998 Jan,Melbourne East,Other reason,0
1998 Jan,Murray East,Holiday,0
1998 Jan,Murray East,Visiting friends and relatives,25.132756
1998 Jan,Murray East,Business,0
1998 Jan,Murray East,Other reason,0
1998 Jan,Peninsula,Holiday,1168.9772975
1998 Jan,Peninsula,Visiting friends and relatives,219.2684772
1998 Jan,Peninsula,Business,5.1133498
1998 Jan,Peninsula,Other reason,0
1998 Jan,Phillip Island,Holiday,918.1337059
1998 Jan,Phillip Island,Visiting friends and relatives,100.9173803
1998 Jan,Phillip Island,Business,0
1998 Jan,Phillip Island,Other reason,0
1998 Jan,Spa Country,Holiday,51.5406732
1998 Jan,Spa Country,Visiting friends and relatives,45.3591934
1998 Jan,Spa Country,Business,0
1998 Jan,Spa Country,Other reason,0
1998 Jan,Upper Yarra,Holiday,76.0244312
1998 Jan,Upper Yarra,Visiting friends and relatives,6.4976954
1998 Jan,Upper Yarra,Business,0
1998 Jan,Upper Yarra,Other reason,0
1998 Jan,Western Grampians,Holiday,68.1892506
1998 Jan,Western Grampians,Visiting friends and relatives,57.0547616
1998 Jan,Western Grampians,Business,50.1538567
1998 Jan,Western Grampians,Other reason,2.6455582
1998 Jan,Wimmera,Holiday,5.4443973
1998 Jan,Wimmera,Visiting friends and relatives,18.5125605
1998 Jan,Wimmera,Business,0
1998 Jan,Wimmera,Other reason,0
1998 Jan,Brisbane,Holiday,791.3928001
1998 Jan,Brisbane,Visiting friends and relatives,1262.5441731
1998 Jan,Brisbane,Business,393.8303065
1998 Jan,Brisbane,Other reason,52.875929
1998 Jan,Bundaberg,Holiday,69.6240605
1998 Jan,Bundaberg,Visiting friends and relatives,87.7274333
1998 Jan,Bundaberg,Business,13.0233094
1998 Jan,Bundaberg,Other reason,0
1998 Jan,Southern Queensland Country,Holiday,88.6962624
1998 Jan,Southern Queensland Country,Visiting friends and relatives,80.8005728
1998 Jan,Southern Queensland Country,Business,19.0134919
1998 Jan,Southern Queensland Country,Other reason,0
1998 Jan,Fraser Coast,Holiday,214.8007251
1998 Jan,Fraser Coast,Visiting friends and relatives,77.1835438
1998 Jan,Fraser Coast,Business,0
1998 Jan,Fraser Coast,Other reason,9.478051
1998 Jan,Gold Coast,Holiday,1696.2667958
1998 Jan,Gold Coast,Visiting friends and relatives,285.8041212
1998 Jan,Gold Coast,Business,74.530141
1998 Jan,Gold Coast,Other reason,23.0652367
1998 Jan,Mackay,Holiday,67.6352436
1998 Jan,Mackay,Visiting friends and relatives,34.2951673
1998 Jan,Mackay,Business,4.8076753
1998 Jan,Mackay,Other reason,19.2737825
1998 Jan,Townsville,Holiday,204.1490029
1998 Jan,Townsville,Visiting friends and relatives,146.3020205
1998 Jan,Townsville,Business,11.0715889
1998 Jan,Townsville,Other reason,25.4117287
1998 Jan,Outback Queensland,Holiday,35.2257838
1998 Jan,Outback Queensland,Visiting friends and relatives,30.760728
1998 Jan,Outback Queensland,Business,49.448014
1998 Jan,Outback Queensland,Other reason,0
1998 Jan,Sunshine Coast,Holiday,1542.8897315
1998 Jan,Sunshine Coast,Visiting friends and relatives,270.6032242
1998 Jan,Sunshine Coast,Business,13.9214756
1998 Jan,Sunshine Coast,Other reason,13.512483
1998 Jan,Tropical North Queensland,Holiday,314.1389332
1998 Jan,Tropical North Queensland,Visiting friends and relatives,169.1301259
1998 Jan,Tropical North Queensland,Business,14.0272953
1998 Jan,Tropical North Queensland,Other reason,0
1998 Jan,Whitsundays,Holiday,154.0971719
1998 Jan,Whitsundays,Visiting friends and relatives,49.4600848
1998 Jan,Whitsundays,Business,0
1998 Jan,Whitsundays,Other reason,0
1998 Jan,Capricorn,Holiday,55.8281768
1998 Jan,Capricorn,Visiting friends and relatives,73.5630302
1998 Jan,Capricorn,Business,9.6153506
1998 Jan,Capricorn,Other reason,2.0014202
1998 Jan,Gladstone,Holiday,8.5709959
1998 Jan,Gladstone,Visiting friends and relatives,72.9618571
1998 Jan,Gladstone,Business,0
1998 Jan,Gladstone,Other reason,0
1998 Jan,Adelaide,Holiday,574.8680242
1998 Jan,Adelaide,Visiting friends and relatives,670.5726207
1998 Jan,Adelaide,Business,101.1392137
1998 Jan,Adelaide,Other reason,113.4314546
1998 Jan,Adelaide Hills,Holiday,3.2608614
1998 Jan,Adelaide Hills,Visiting friends and relatives,15.7040008
1998 Jan,Adelaide Hills,Business,0
1998 Jan,Adelaide Hills,Other reason,0
1998 Jan,Barossa,Holiday,12.01874
1998 Jan,Barossa,Visiting friends and relatives,5.9894777
1998 Jan,Barossa,Business,0.8353756
1998 Jan,Barossa,Other reason,0
1998 Jan,Clare Valley,Holiday,12.9848387
1998 Jan,Clare Valley,Visiting friends and relatives,7.9850174
1998 Jan,Clare Valley,Business,41.6779128
1998 Jan,Clare Valley,Other reason,0
1998 Jan,Eyre Peninsula,Holiday,110.1810096
1998 Jan,Eyre Peninsula,Visiting friends and relatives,89.3992561
1998 Jan,Eyre Peninsula,Business,13.0942147
1998 Jan,Eyre Peninsula,Other reason,0
1998 Jan,Fleurieu Peninsula,Holiday,208.9424264
1998 Jan,Fleurieu Peninsula,Visiting friends and relatives,46.0239301
1998 Jan,Fleurieu Peninsula,Business,0
1998 Jan,Fleurieu Peninsula,Other reason,0
1998 Jan,Limestone Coast,Holiday,297.9567477
1998 Jan,Limestone Coast,Visiting friends and relatives,140.8844252
1998 Jan,Limestone Coast,Business,112.6915208
1998 Jan,Limestone Coast,Other reason,3.9683373
1998 Jan,"Murray River, Lakes and Coorong",Holiday,134.0441265
1998 Jan,"Murray River, Lakes and Coorong",Visiting friends and relatives,32.5461046
1998 Jan,"Murray River, Lakes and Coorong",Business,0
1998 Jan,"Murray River, Lakes and Coorong",Other reason,14.6190737
1998 Jan,Riverland,Holiday,134.9815712
1998 Jan,Riverland,Visiting friends and relatives,38.3053754
1998 Jan,Riverland,Business,0
1998 Jan,Riverland,Other reason,0
1998 Jan,Yorke Peninsula,Holiday,232.0199543
1998 Jan,Yorke Peninsula,Visiting friends and relatives,73.4733955
1998 Jan,Yorke Peninsula,Business,2.555678
1998 Jan,Yorke Peninsula,Other reason,0
1998 Jan,Flinders Ranges and Outback,Holiday,34.4973011
1998 Jan,Flinders Ranges and Outback,Visiting friends and relatives,78.0067892
1998 Jan,Flinders Ranges and Outback,Business,50.3924688
1998 Jan,Flinders Ranges and Outback,Other reason,1.3227791
1998 Jan,Kangaroo Island,Holiday,89.2528048
1998 Jan,Kangaroo Island,Visiting friends and relatives,2.555678
1998 Jan,Kangaroo Island,Business,0
1998 Jan,Kangaroo Island,Other reason,2.1308405
1998 Jan,Destination Perth,Holiday,671.3219792
1998 Jan,Destination Perth,Visiting friends and relatives,555.8588926
1998 Jan,Destination Perth,Business,219.0581897
1998 Jan,Destination Perth,Other reason,36.1465855
1998 Jan,Australia's Golden Outback,Holiday,139.3534681
1998 Jan,Australia's Golden Outback,Visiting friends and relatives,60.2514172
1998 Jan,Australia's Golden Outback,Business,90.2951957
1998 Jan,Australia's Golden Outback,Other reason,0
1998 Jan,Australia's North West,Holiday,194.5656246
1998 Jan,Australia's North West,Visiting friends and relatives,40.8812932
1998 Jan,Australia's North West,Business,28.1234239
1998 Jan,Australia's North West,Other reason,0
1998 Jan,Australia's South West,Holiday,578.8525568
1998 Jan,Australia's South West,Visiting friends and relatives,153.5233174
1998 Jan,Australia's South West,Business,36.4312956
1998 Jan,Australia's South West,Other reason,0
1998 Jan,Australia's Coral Coast,Holiday,177.0840457
1998 Jan,Australia's Coral Coast,Visiting friends and relatives,125.8639239
1998 Jan,Australia's Coral Coast,Business,14.0079803
1998 Jan,Australia's Coral Coast,Other reason,0
1998 Jan,Hobart and the South,Holiday,434.487693
1998 Jan,Hobart and the South,Visiting friends and relatives,356.6541193
1998 Jan,Hobart and the South,Business,52.4537882
1998 Jan,Hobart and the South,Other reason,4.3779788
1998 Jan,East Coast,Holiday,185.6922454
1998 Jan,East Coast,Visiting friends and relatives,41.1233102
1998 Jan,East Coast,Business,1.2654188
1998 Jan,East Coast,Other reason,0.6216166
1998 Jan,Launceston and the North,Holiday,172.1575764
1998 Jan,Launceston and the North,Visiting friends and relatives,314.203953
1998 Jan,Launceston and the North,Business,45.2284921
1998 Jan,Launceston and the North,Other reason,0
1998 Jan,North West,Holiday,137.3764266
1998 Jan,North West,Visiting friends and relatives,50.2190103
1998 Jan,North West,Business,7.9169892
1998 Jan,North West,Other reason,0
1998 Jan,West Coast,Holiday,33.0608495
1998 Jan,West Coast,Visiting friends and relatives,10.770112
1998 Jan,West Coast,Business,1.6744011
1998 Jan,West Coast,Other reason,1.451793
1998 Jan,Darwin,Holiday,26.5765291
1998 Jan,Darwin,Visiting friends and relatives,12.5167296
1998 Jan,Darwin,Business,7.7547692
1998 Jan,Darwin,Other reason,0
1998 Jan,Barkly,Holiday,1.3530931
1998 Jan,Barkly,Visiting friends and relatives,0
1998 Jan,Barkly,Business,20.1133832
1998 Jan,Barkly,Other reason,0.6645502
1998 Jan,Alice Springs,Holiday,7.5362231
1998 Jan,Alice Springs,Visiting friends and relatives,0
1998 Jan,Alice Springs,Business,1.6289484
1998 Jan,Alice Springs,Other reason,0
1998 Jan,Litchfield Kakadu Arnhem,Holiday,0
1998 Jan,Litchfield Kakadu Arnhem,Visiting friends and relatives,2.584923
1998 Jan,Litchfield Kakadu Arnhem,Business,0
1998 Jan,Litchfield Kakadu Arnhem,Other reason,0
1998 Jan,Katherine Daly,Holiday,4.308205
1998 Jan,Katherine Daly,Visiting friends and relatives,0.6215664
1998 Jan,Katherine Daly,Business,13.7862565
1998 Jan,Katherine Daly,Other reason,2.4115748
1998 Jan,Lasseter,Holiday,18.9650145
1998 Jan,Lasseter,Visiting friends and relatives,0.8118559
1998 Jan,Lasseter,Business,0
1998 Jan,Lasseter,Other reason,0
1998 Jan,MacDonnell,Holiday,0.8118559
1998 Jan,MacDonnell,Visiting friends and relatives,0
1998 Jan,MacDonnell,Business,9.4780512
1998 Jan,MacDonnell,Other reason,0
1998 Jan,Canberra,Holiday,360.2568146
1998 Jan,Canberra,Visiting friends and relatives,184.9929782
1998 Jan,Canberra,Business,24.9513355
1998 Jan,Canberra,Other reason,42.2466827
1998 Feb,Sydney,Holiday,514.3375998
1998 Feb,Sydney,Visiting friends and relatives,645.9808573
1998 Feb,Sydney,Business,450.5098936
1998 Feb,Sydney,Other reason,80.8360852
1998 Feb,Blue Mountains,Holiday,61.9091318
1998 Feb,Blue Mountains,Visiting friends and relatives,6.1660647
1998 Feb,Blue Mountains,Business,11.7250754
1998 Feb,Blue Mountains,Other reason,0
1998 Feb,Capital Country,Holiday,59.9534346
1998 Feb,Capital Country,Visiting friends and relatives,82.6478005
1998 Feb,Capital Country,Business,10.9755552
1998 Feb,Capital Country,Other reason,6.6618988
1998 Feb,Central Coast,Holiday,139.8294614
1998 Feb,Central Coast,Visiting friends and relatives,96.0725295
1998 Feb,Central Coast,Business,3.8006465
1998 Feb,Central Coast,Other reason,5.8625378
1998 Feb,Central NSW,Holiday,79.7391391
1998 Feb,Central NSW,Visiting friends and relatives,46.4038109
1998 Feb,Central NSW,Business,18.5977919
1998 Feb,Central NSW,Other reason,3.7515593
1998 Feb,Hunter,Holiday,211.0010567
1998 Feb,Hunter,Visiting friends and relatives,346.1513978
1998 Feb,Hunter,Business,51.4736833
1998 Feb,Hunter,Other reason,2.3136939
1998 Feb,New England North West,Holiday,30.5622006
1998 Feb,New England North West,Visiting friends and relatives,93.4920358
1998 Feb,New England North West,Business,37.1902297
1998 Feb,New England North West,Other reason,13.746342
1998 Feb,North Coast NSW,Holiday,477.6745471
1998 Feb,North Coast NSW,Visiting friends and relatives,359.2080003
1998 Feb,North Coast NSW,Business,19.8592434
1998 Feb,North Coast NSW,Other reason,46.7498894
1998 Feb,Outback NSW,Holiday,0
1998 Feb,Outback NSW,Visiting friends and relatives,25.4759358
1998 Feb,Outback NSW,Business,26.4674754
1998 Feb,Outback NSW,Other reason,0
1998 Feb,Riverina,Holiday,6.2506578
1998 Feb,Riverina,Visiting friends and relatives,38.712017
1998 Feb,Riverina,Business,39.968623
1998 Feb,Riverina,Other reason,4.7268572
1998 Feb,Snowy Mountains,Holiday,50.9375355
1998 Feb,Snowy Mountains,Visiting friends and relatives,5.481524
1998 Feb,Snowy Mountains,Business,16.6896207
1998 Feb,Snowy Mountains,Other reason,0
1998 Feb,South Coast,Holiday,782.6337717
1998 Feb,South Coast,Visiting friends and relatives,191.0369906
1998 Feb,South Coast,Business,91.3632192
1998 Feb,South Coast,Other reason,1.8487881
1998 Feb,The Murray,Holiday,54.3528903
1998 Feb,The Murray,Visiting friends and relatives,29.1561953
1998 Feb,The Murray,Business,28.8197905
1998 Feb,The Murray,Other reason,0
1998 Feb,Melbourne,Holiday,296.1645328
1998 Feb,Melbourne,Visiting friends and relatives,602.2606449
1998 Feb,Melbourne,Business,500.9022968
1998 Feb,Melbourne,Other reason,49.3529832
1998 Feb,Ballarat,Holiday,8.7681433
1998 Feb,Ballarat,Visiting friends and relatives,27.3569499
1998 Feb,Ballarat,Business,92.573866
1998 Feb,Ballarat,Other reason,0
1998 Feb,Bendigo Loddon,Holiday,8.4922335
1998 Feb,Bendigo Loddon,Visiting friends and relatives,49.1050104
1998 Feb,Bendigo Loddon,Business,27.276262
1998 Feb,Bendigo Loddon,Other reason,0.9301389
1998 Feb,Central Highlands,Holiday,20.8351475
1998 Feb,Central Highlands,Visiting friends and relatives,9.3853143
1998 Feb,Central Highlands,Business,0
1998 Feb,Central Highlands,Other reason,0
1998 Feb,Central Murray,Holiday,97.7801726
1998 Feb,Central Murray,Visiting friends and relatives,25.3161062
1998 Feb,Central Murray,Business,7.5935441
1998 Feb,Central Murray,Other reason,0
1998 Feb,Geelong and the Bellarine,Holiday,9.085625
1998 Feb,Geelong and the Bellarine,Visiting friends and relatives,105.2969558
1998 Feb,Geelong and the Bellarine,Business,24.8386979
1998 Feb,Geelong and the Bellarine,Other reason,0
1998 Feb,Gippsland,Holiday,136.9512011
1998 Feb,Gippsland,Visiting friends and relatives,96.3369612
1998 Feb,Gippsland,Business,10.2169065
1998 Feb,Gippsland,Other reason,0
1998 Feb,Goulburn,Holiday,13.977457
1998 Feb,Goulburn,Visiting friends and relatives,18.0690144
1998 Feb,Goulburn,Business,6.152634
1998 Feb,Goulburn,Other reason,0
1998 Feb,Great Ocean Road,Holiday,197.3569351
1998 Feb,Great Ocean Road,Visiting friends and relatives,83.8084926
1998 Feb,Great Ocean Road,Business,61.5404594
1998 Feb,Great Ocean Road,Other reason,0
1998 Feb,High Country,Holiday,84.4390522
1998 Feb,High Country,Visiting friends and relatives,20.9150291
1998 Feb,High Country,Business,4.9129203
1998 Feb,High Country,Other reason,0
1998 Feb,Lakes,Holiday,93.830686
1998 Feb,Lakes,Visiting friends and relatives,45.1585692
1998 Feb,Lakes,Business,3.7205556
1998 Feb,Lakes,Other reason,0
1998 Feb,Macedon,Holiday,8.3332265
1998 Feb,Macedon,Visiting friends and relatives,3.1823648
1998 Feb,Macedon,Business,0
1998 Feb,Macedon,Other reason,2.3867736
1998 Feb,Mallee,Holiday,58.3358688
1998 Feb,Mallee,Visiting friends and relatives,26.2787921
1998 Feb,Mallee,Business,81.9481825
1998 Feb,Mallee,Other reason,0
1998 Feb,Melbourne East,Holiday,89.6831187
1998 Feb,Melbourne East,Visiting friends and relatives,64.4783083
1998 Feb,Melbourne East,Business,0
1998 Feb,Melbourne East,Other reason,0
1998 Feb,Murray East,Holiday,0
1998 Feb,Murray East,Visiting friends and relatives,4.0603844
1998 Feb,Murray East,Business,1.5911824
1998 Feb,Murray East,Other reason,0
1998 Feb,Peninsula,Holiday,123.8073982
1998 Feb,Peninsula,Visiting friends and relatives,119.1788177
1998 Feb,Peninsula,Business,54.9043558
1998 Feb,Peninsula,Other reason,14.9700498
1998 Feb,Phillip Island,Holiday,142.8754197
1998 Feb,Phillip Island,Visiting friends and relatives,44.1379668
1998 Feb,Phillip Island,Business,11.5338771
1998 Feb,Phillip Island,Other reason,0
1998 Feb,Spa Country,Holiday,15.3762434
1998 Feb,Spa Country,Visiting friends and relatives,7.3262742
1998 Feb,Spa Country,Business,0
1998 Feb,Spa Country,Other reason,0
1998 Feb,Upper Yarra,Holiday,31.2422546
1998 Feb,Upper Yarra,Visiting friends and relatives,3.7425125
1998 Feb,Upper Yarra,Business,48.521574
1998 Feb,Upper Yarra,Other reason,0
1998 Feb,Western Grampians,Holiday,19.8249288
1998 Feb,Western Grampians,Visiting friends and relatives,27.5134192
1998 Feb,Western Grampians,Business,3.6290625
1998 Feb,Western Grampians,Other reason,0
1998 Feb,Wimmera,Holiday,0
1998 Feb,Wimmera,Visiting friends and relatives,6.0839842
1998 Feb,Wimmera,Business,0
1998 Feb,Wimmera,Other reason,0
1998 Feb,Brisbane,Holiday,552.6561928
1998 Feb,Brisbane,Visiting friends and relatives,358.346883
1998 Feb,Brisbane,Business,203.7429841
1998 Feb,Brisbane,Other reason,206.124436
1998 Feb,Bundaberg,Holiday,31.6367466
1998 Feb,Bundaberg,Visiting friends and relatives,6.1922371
1998 Feb,Bundaberg,Business,34.910878
1998 Feb,Bundaberg,Other reason,0
1998 Feb,Southern Queensland Country,Holiday,42.0380293
1998 Feb,Southern Queensland Country,Visiting friends and relatives,30.5391598
1998 Feb,Southern Queensland Country,Business,16.5095958
1998 Feb,Southern Queensland Country,Other reason,0
1998 Feb,Fraser Coast,Holiday,36.4525128
1998 Feb,Fraser Coast,Visiting friends and relatives,16.7634247
1998 Feb,Fraser Coast,Business,56.08593
1998 Feb,Fraser Coast,Other reason,0
1998 Feb,Gold Coast,Holiday,498.1462189
1998 Feb,Gold Coast,Visiting friends and relatives,94.9991734
1998 Feb,Gold Coast,Business,36.696334
1998 Feb,Gold Coast,Other reason,4.9328518
1998 Feb,Mackay,Holiday,12.7863474
1998 Feb,Mackay,Visiting friends and relatives,45.7733784
1998 Feb,Mackay,Business,12.3325901
1998 Feb,Mackay,Other reason,110.236776
1998 Feb,Townsville,Holiday,22.6913283
1998 Feb,Townsville,Visiting friends and relatives,69.7961282
1998 Feb,Townsville,Business,104.548512
1998 Feb,Townsville,Other reason,21.724038
1998 Feb,Outback Queensland,Holiday,2.178693
1998 Feb,Outback Queensland,Visiting friends and relatives,34.5706447
1998 Feb,Outback Queensland,Business,0
1998 Feb,Outback Queensland,Other reason,0
1998 Feb,Sunshine Coast,Holiday,291.0146975
1998 Feb,Sunshine Coast,Visiting friends and relatives,156.087588
1998 Feb,Sunshine Coast,Business,30.5657666
1998 Feb,Sunshine Coast,Other reason,0
1998 Feb,Tropical North Queensland,Holiday,102.2351752
1998 Feb,Tropical North Queensland,Visiting friends and relatives,38.1396849
1998 Feb,Tropical North Queensland,Business,33.5397555
1998 Feb,Tropical North Queensland,Other reason,3.1038071
1998 Feb,Whitsundays,Holiday,72.5737094
1998 Feb,Whitsundays,Visiting friends and relatives,0
1998 Feb,Whitsundays,Business,0
1998 Feb,Whitsundays,Other reason,0
1998 Feb,Capricorn,Holiday,21.5340267
1998 Feb,Capricorn,Visiting friends and relatives,23.9758246
1998 Feb,Capricorn,Business,67.0501856
1998 Feb,Capricorn,Other reason,0
1998 Feb,Gladstone,Holiday,53.0150142
1998 Feb,Gladstone,Visiting friends and relatives,18.372796
1998 Feb,Gladstone,Business,5.4310095
1998 Feb,Gladstone,Other reason,0
1998 Feb,Adelaide,Holiday,119.2851309
1998 Feb,Adelaide,Visiting friends and relatives,252.7117776
1998 Feb,Adelaide,Business,91.0796543
1998 Feb,Adelaide,Other reason,29.0273278
1998 Feb,Adelaide Hills,Holiday,0
1998 Feb,Adelaide Hills,Visiting friends and relatives,0
1998 Feb,Adelaide Hills,Business,0
1998 Feb,Adelaide Hills,Other reason,0
1998 Feb,Barossa,Holiday,26.7410247
1998 Feb,Barossa,Visiting friends and relatives,6.0172478
1998 Feb,Barossa,Business,0
1998 Feb,Barossa,Other reason,0
1998 Feb,Clare Valley,Holiday,5.299632
1998 Feb,Clare Valley,Visiting friends and relatives,19.1495264
1998 Feb,Clare Valley,Business,1.8082429
1998 Feb,Clare Valley,Other reason,1.3721592
1998 Feb,Eyre Peninsula,Holiday,60.1902398
1998 Feb,Eyre Peninsula,Visiting friends and relatives,68.5669638
1998 Feb,Eyre Peninsula,Business,25.614888
1998 Feb,Eyre Peninsula,Other reason,0
1998 Feb,Fleurieu Peninsula,Holiday,170.6767235
1998 Feb,Fleurieu Peninsula,Visiting friends and relatives,30.0524986
1998 Feb,Fleurieu Peninsula,Business,19.1495264
1998 Feb,Fleurieu Peninsula,Other reason,0
1998 Feb,Limestone Coast,Holiday,67.756356
1998 Feb,Limestone Coast,Visiting friends and relatives,30.6820107
1998 Feb,Limestone Coast,Business,10.0088376
1998 Feb,Limestone Coast,Other reason,1.3721592
1998 Feb,"Murray River, Lakes and Coorong",Holiday,14.5956733
1998 Feb,"Murray River, Lakes and Coorong",Visiting friends and relatives,10.616854
1998 Feb,"Murray River, Lakes and Coorong",Business,2.1224424
1998 Feb,"Murray River, Lakes and Coorong",Other reason,0
1998 Feb,Riverland,Holiday,31.7396192
1998 Feb,Riverland,Visiting friends and relatives,0
1998 Feb,Riverland,Business,20.2091337
1998 Feb,Riverland,Other reason,0
1998 Feb,Yorke Peninsula,Holiday,113.2254582
1998 Feb,Yorke Peninsula,Visiting friends and relatives,7.357012
1998 Feb,Yorke Peninsula,Business,2.1224424
1998 Feb,Yorke Peninsula,Other reason,0
1998 Feb,Flinders Ranges and Outback,Holiday,20.4061512
1998 Feb,Flinders Ranges and Outback,Visiting friends and relatives,10.1774863
1998 Feb,Flinders Ranges and Outback,Business,36.6662187
1998 Feb,Flinders Ranges and Outback,Other reason,2.4989744
1998 Feb,Kangaroo Island,Holiday,7.0661762
1998 Feb,Kangaroo Island,Visiting friends and relatives,4.9883016
1998 Feb,Kangaroo Island,Business,0.9041214
1998 Feb,Kangaroo Island,Other reason,0
1998 Feb,Destination Perth,Holiday,350.1584292
1998 Feb,Destination Perth,Visiting friends and relatives,241.7302391
1998 Feb,Destination Perth,Business,200.4916231
1998 Feb,Destination Perth,Other reason,56.9210709
1998 Feb,Australia's Golden Outback,Holiday,76.7723921
1998 Feb,Australia's Golden Outback,Visiting friends and relatives,22.4981665
1998 Feb,Australia's Golden Outback,Business,50.6205468
1998 Feb,Australia's Golden Outback,Other reason,1.3721592
